06 44 +25.1  3.06 null
10 22 +41.5  3.06 null
19 13 +67.7  3.07 null
18 18 -36.8  3.10 null
08 55 +05.9  3.11 null
10 50 -16.2  3.11 null
11 36 -63.0  3.11 null
20 38 -47.3  3.11 null
05 51 -35.8  3.12 null
08 59 +48.0  3.12 null
16 59 -56.0  3.12 null
17 15 +24.8  3.12 null
14 59 -42.1  3.13 null
09 21 +34.4  3.14 null
09 31 -57.0  3.16 null
17 15 +36.8  3.16 null
